有價證券代號及名稱,國際證券辨識號碼(ISIN Code),上市日,市場別,產業別,CFICode,代號,公司名稱
4186　尖端醫,TW0004186002,2012/11/27,興櫃,生技醫療業,ESVUFR,4186,尖端醫
4194　禾生技,TW0004194006,2013/12/13,興櫃,生技醫療業,ESVUFR,4194,禾生技
4195　基米,TW0004195003,2013/12/16,興櫃,生技醫療業,ESVUFR,4195,基米
4197　暐世,TW0004197009,2013/10/24,興櫃,生技醫療業,ESVUFR,4197,暐世
4431　敏成健康,TW0004431002,2011/08/30,興櫃,其他業,ESVUFR,4431,敏成健康
4441　振大環球,TW0004441001,2022/01/26,興櫃,紡織纖維,ESVUFR,4441,振大環球
4537　旭東,TW0004537006,2012/05/03,興櫃,光電業,ESVUFR,4537,旭東
4544　春日,TW0004544002,2012/12/24,興櫃,電機機械,ESVUFR,4544,春日
4546　長亨,TW0004546007,2013/07/30,興櫃,電機機械,ESVUFR,4546,長亨
4553　盛復,TW0004553003,2014/09/16,興櫃,電機機械,ESVUFR,4553,盛復
4559　久裕興,TW0004559000,2014/12/08,興櫃,運動休閒,ESVUFR,4559,久裕興
4565　宏偉,TW0004565007,2016/10/05,興櫃,電機機械,ESVUFR,4565,宏偉
4570　傑生,TW0004570007,2024/03/14,興櫃,電機機械,ESVUFR,4570,傑生
4573　高明鐵,TW0004573001,2018/07/26,興櫃,電機機械,ESVUFR,4573,高明鐵
4575　銓寶,TW0004575006,2018/11/19,興櫃,電機機械,ESVUFR,4575,銓寶
4578　總格精密,TW0004578000,2018/10/31,興櫃,電機機械,ESVUFR,4578,總格精密
4582　聚恆,TW0004582002,2019/09/30,興櫃,綠能環保,ESVUFR,4582,聚恆
4587　寶元數控,TW0004587001,2022/07/27,興櫃,電機機械,ESVUFR,4587,寶元數控
4589　碩陽電機,TW0004589007,2023/04/27,興櫃,電機機械,ESVUFR,4589,碩陽電機
4724　宣捷幹細胞,TW0004724000,2023/06/16,興櫃,生技醫療業,ESVUFR,4724,宣捷幹細胞
4732　彥臣,TW0004732003,2007/12/25,興櫃,生技醫療業,ESVUFR,4732,彥臣
4738　尚化,TW0004738000,2009/09/09,興櫃,化學工業,ESVUFR,4738,尚化
4749　新應材,TW0004749007,2022/02/15,興櫃,光電業,ESVUFR,4749,新應材
4765　磐采,TW0004765003,2016/12/05,興櫃,化學工業,ESVUFR,4765,磐采
4772　台特化,TW0004772009,2022/09/21,興櫃,化學工業,ESVUFR,4772,台特化
4773　高福,TW0004773007,2022/10/25,興櫃,化學工業,ESVUFR,4773,高福
4925　智微,TW0004925003,2010/10/28,興櫃,半導體業,ESVUFR,4925,智微
4949　有成精密,TW0004949003,2023/01/16,興櫃,光電業,ESVUFR,4949,有成精密
4980　佐臻,TW0004980008,2010/11/16,興櫃,電子零組件業,ESVUFR,4980,佐臻
5233　有量,TW0005233001,2011/06/28,興櫃,其他電子業,ESVUFR,5233,有量
5240　建騰,TW0005240006,2011/06/22,興櫃,光電業,ESVUFR,5240,建騰
5246　勵威,TW0005246003,2022/11/03,興櫃,半導體業,ESVUFR,5246,勵威
5248　景傳,TW0005248009,2011/09/06,興櫃,光電業,ESVUFR,5248,景傳
5254　欣訊科技,TW0005254007,2019/01/08,興櫃,電子零組件業,ESVUFR,5254,欣訊科技
5262　立達,TW0005262000,2013/10/21,興櫃,半導體業,ESVUFR,5262,立達
5267　龍翩,TW0005267009,2012/02/24,興櫃,光電業,ESVUFR,5267,龍翩
5271　紘通,TW0005271001,2012/03/06,興櫃,電子零組件業,ESVUFR,5271,紘通
5277　葳天,TW0005277008,2014/09/24,興櫃,光電業,ESVUFR,5277,葳天
5297　廣化,TW0005297006,2017/02/21,興櫃,半導體業,ESVUFR,5297,廣化
5547　久舜,TW0005547004,2020/01/10,興櫃,建材營造業,ESVUFR,5547,久舜
5859　遠壽,TW0005859003,2015/04/16,興櫃,金融保險業,ESVUFR,5859,遠壽
5863　瑞興銀,TW0005863005,2007/12/03,興櫃,金融保險業,ESVUFR,5863,瑞興銀
6027　德信,TW0006027006,2015/11/02,興櫃,金融保險業,ESVUFR,6027,德信
6028　公勝保經,TW0006028004,2019/03/06,興櫃,金融保險業,ESVUFR,6028,公勝保經
6035　悠遊卡,TW0006035009,2023/01/03,興櫃,金融保險業,ESVUFR,6035,悠遊卡
6272　驊陞,TW0006272008,2002/12/24,興櫃,電子零組件業,ESVUFR,6272,驊陞
6403　群登,TW0006403009,2012/10/26,興櫃,通信網路業,ESVUFR,6403,群登
6407　相互,TW0006407000,2013/03/29,興櫃,電子零組件業,ESVUFR,6407,相互
6423　億而得,TW0006423007,2014/10/23,興櫃,半導體業,ESVUFR,6423,億而得
6428　淘米,TW0006428006,2013/09/11,興櫃,文化創意業,ESVUFR,6428,淘米
6434　達輝光電,TW0006434004,2013/11/12,興櫃,光電業,ESVUFR,6434,達輝光電
6473　美賣*,TW0006473002,2014/12/08,興櫃,數位雲端,ESVUFR,6473,美賣*
6474　華豫寧,TW0006474000,2018/02/01,興櫃,電子通路業,ESVUFR,6474,華豫寧
6483　原創生醫,TW0006483001,2024/03/29,興櫃,生技醫療業,ESVUFR,6483,原創生醫
6493　雷虎生,TW0006493000,2015/01/08,興櫃,生技醫療業,ESVUFR,6493,雷虎生
6495　納諾*-KY,KYG6392C1096,2016/08/15,興櫃,化學工業,ESVUFR,6495,納諾*-KY
6498　久禾光,TW0006498009,2015/01/27,興櫃,光電業,ESVUFR,6498,久禾光
6518　康科特,TW0006518004,2015/05/13,興櫃,生技醫療業,ESVUFR,6518,康科特
6536　碩豐,TW0006536006,2015/06/18,興櫃,資訊服務業,ESVUFR,6536,碩豐
6539　麗彤,TW0006539000,2015/10/15,興櫃,生技醫療業,ESVUFR,6539,麗彤
6543　普惠醫工,TW0006543002,2019/03/27,興櫃,生技醫療業,ESVUFR,6543,普惠醫工
6549　景凱,TW0006549009,2015/10/21,興櫃,生技醫療業,ESVUFR,6549,景凱
6555　榮炭,TW0006555006,2016/01/25,興櫃,電子零組件業,ESVUFR,6555,榮炭
6559　研晶,TW0006559008,2015/12/15,興櫃,光電業,ESVUFR,6559,研晶
6562　聯亞藥,TW0006562002,2021/06/23,興櫃,生技醫療業,ESVUFR,6562,聯亞藥
6564　安特羅,TW0006564008,2018/09/18,興櫃,生技醫療業,ESVUFR,6564,安特羅
6565　物聯,TW0006565005,2017/01/18,興櫃,數位雲端,ESVUFR,6565,物聯
